School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
John Hardin High School,High School,2018,03/29/2018,1:00 PM,Elizabethtown,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Gloversville Middle School,Middle School,2018,04/09/2018,11:00 AM,Gloversville,New York,,Unknown,Unknown,Unknown,Unknown,,
Rayton South Middle School,Middle School,2018,04/12/2018,5:30 PM,Rayton,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Jackson High School,High School,2018,04/19/2018,1:44 PM,Jackson,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Forest High School,High School,2018,04/20/2018,08:39:00,Ocala,Florida,,Unknown,Unknown,Unknown,Unknown,,
Benjamin E. Mays High School,High School,2018,04/23/2018,1:00 PM,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Highland High School,High School,2018,04/25/2018,14:30:00,Albuquerque,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Enemy Swim Day School,K-8,2018,05/03/2018,9:55 PM,Waubay,South Dakota,,Unknown,Unknown,Unknown,Unknown,,
Waynesboro Elementary School,Elementary School,2018,05/03/2018,Unknown,Waynesboro,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Fowlerville High School,High School,2018,05/05/2018,3:00 PM,Fowlerville,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Highland High School,High School,2018,05/11/2018,7:05 AM,Palmdale,California,,Unknown,Unknown,Unknown,Unknown,,
Dixon High School,High School,2018,05/16/2018,8:00 AM,Dixon,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,2018,05/17/2018,8:30 PM,Kansas City,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Mount Zion High School,High School,2018,05/18/2018,Unknown,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Santa Fe High School,High School,2018,05/18/2018,7:45 AM,Santa Fe,Texas,,Unknown,Unknown,Unknown,Unknown,,
Beaverbrook Elementary School,Elementary School,2018,05/21/2018,Unknown,Griffin,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Noblesville West Middle School,Middle School,2018,05/25/2018,9:00 AM,Noblesville,Indiana,,Unknown,Unknown,Unknown,Unknown,,
McKinney North High School,High School,2018,06/01/2018,Unknown,McKinney,Texas,,Unknown,Unknown,Unknown,Unknown,,
Valley Elementary School,Elementary School,2018,06/15/2018,4:00 AM,Beaver Creek,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Grant High School,High School,2018,06/17/2018,4:45 AM,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Skyline High School,High School,2018,06/21/2018,5:00 AM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Sentinel High School,High School,2018,06/24/2018,6:30 PM,Missoula,Montana,,Unknown,Unknown,Unknown,Unknown,,
Fulton Elementary School,Elementary School,2018,06/25/2018,3:00 PM,Springfield,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Raineshaven Elementary School,Elementary School,2018,07/01/2018,9:00 PM,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Sunrise Point Elementary School,Elementary School,2018,07/03/2018,9:00 AM,Overland,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Milkovich Middle School,Middle School,2018,07/11/2018,8:30 PM,Maple Heights,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Hurricane High School,High School,2018,07/17/2018,6:00 PM,Hurricane,West Virginia,,Unknown,Unknown,Unknown,Unknown,,
West Valley Middle School,Middle School,2018,07/19/2018,5:15 PM,Yakima,Washington,,Unknown,Unknown,Unknown,Unknown,,
Liberty Elementary School,Elementary School,2018,08/03/2018,14:00:00,Ottumwa,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Edgewood High School,High School,2018,08/04/2018,9:19 PM,Edgewood,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Lakeside Middle School,Middle School,2018,08/09/2018,8:15 PM,Millville,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Antioch High School,High School,2018,08/11/2018,6:00 PM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Palm Beach Central High School,High School,2018,08/17/2018,9:45 PM,Wellington,Florida,,Unknown,Unknown,Unknown,Unknown,,
Alabama State University Stadium (high school game),High School,2018,08/23/2018,9:30 PM,Montgomery,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Metro East Lutheran High School,High School,2018,08/24/2018,Unknown,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Raines High School,High School,2018,08/24/2018,10:00 PM,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Cole Middle School,Middle School,2018,08/28/2018,2:00 PM,Denver,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Towne Point Elementary School,Elementary School,2018,08/29/2018,10:00 PM,Dover,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Ottawa Hills High School,High School,2018,08/30/2018,10:30:00,Grand Rapids,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Villa Heights Elementary School,Elementary School,2018,08/30/2018,8:30 AM,Charlotte,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Balboa High School,High School,2018,08/31/2018,3:11 PM,San Francisco,California,,Unknown,Unknown,Unknown,Unknown,,
North Scott Junior High School,Middle School,2018,08/31/2018,8:30 AM,Eldridge,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Luisa Pineiro Fuentes School of Science and Discovery,Elementary,2018,09/03/2018,9:20 PM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Providence Career and Technical Academy,High,2018,09/05/2018,2:00 PM,Providence,Rhode Island,,Unknown,Unknown,Unknown,Unknown,,
Herbert Hoover High School,High School,2018,09/07/2018,9:00 PM,Des Moines,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Gilroy High School,High School,2018,09/09/2018,1:00 PM,Gilroy,California,,Unknown,Unknown,Unknown,Unknown,,
Chatham Academy High School,High School,2018,09/10/2018,4:00 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Fairley High School,High School,2018,09/10/2018,4:00 PM,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Canyon Springs High School,High School,2018,09/11/2018,2:40 PM,Las Vegas,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Boynton Beach High School,High School,2018,09/14/2018,Unknown,Boynton Beach,Florida,,Unknown,Unknown,Unknown,Unknown,,
Mariner High School,High School,2018,09/14/2018,9:00 PM,Everett,Washington,,Unknown,Unknown,Unknown,Unknown,,
Blossomwood Elementary School,Elementary School,2018,09/17/2018,10:30 AM,Huntsville,Alabama,,Unknown,Unknown,Unknown,Unknown,,
CHAMPS Charter High School,High School,2018,09/20/2018,12:10 PM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Pomona High School,High School,2018,09/20/2018,Unknown,Pomona,California,,Unknown,Unknown,Unknown,Unknown,,
Appling County High School,High School,2018,09/24/2018,Unknown,Baxley,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,2018,09/24/2018,8:15 AM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Lawrence Orr Elementary School,Elementary School,2018,09/24/2018,9:00 AM,Charlotte,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Maree Garnett Farring Elementary,Elementary,2018,09/26/2018,Unknown,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Hebron High School,High School,2018,09/27/2018,8:35 PM,Carrollton,Texas,,Unknown,Unknown,Unknown,Unknown,,
Chamberlain High School,High School,2018,09/28/2018,3:30 PM,Chamberlain,South Dakota,,Unknown,Unknown,Unknown,Unknown,,
Chicot Elementary School,Elementary School,2018,10/02/2018,10:00 AM,Little Rock,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Denali Montessori Elementary School,Elementary School,2018,10/03/2018,10:00:00,Anchorage,Alaska,,Unknown,Unknown,Unknown,Unknown,,
Jason Lee Elementary School,Elementary School,2018,10/04/2018,4:35 PM,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Haywood High School,High School,2018,10/05/2018,9:30 PM,Brownsville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Lake Taylor High School,High School,2018,10/05/2018,9:30 PM,Norfolk,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Varina High School,High School,2018,10/07/2018,9:30 PM,Henrico,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Battle Creek Academy,Elementary,2018,10/12/2018,1:00 PM,Battle Creek,Michigan,,Unknown,Unknown,Unknown,Unknown,,
McGavock High School,High School,2018,10/13/2018,9:04 PM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Shiloh Middle School,Middle School,2018,10/20/2018,3:00 PM,Snellville,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Dunbar Elementary School,Elementary School,2018,10/22/2018,8:00 AM,Bridgeport,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Gossler Park Elementary School,Elementary School,2018,10/23/2018,Unknown,Manchester,New Hampshire,,Unknown,Unknown,Unknown,Unknown,,
Cody High School,High School,2018,10/25/2018,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Butler High School,High School,2018,10/29/2018,07:15:00,Matthews,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Crums Lane Elementary School,Elementary School,2018,11/04/2018,5:57 PM,Louisville,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Academy of Hope,K-8,2018,11/05/2018,11:00 AM,Conway,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Cleveland Elementary School,Elementary School,2018,11/08/2018,2:00 AM,Santa Barbara,California,,Unknown,Unknown,Unknown,Unknown,,
Garrett Middle School,Middle School,2018,11/09/2018,Unknown,Marietta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Eastern Tech High School,High School,2018,11/12/2018,12:23 PM,Essex,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Simonsdale Elementary School,Elementary School,2018,11/20/2018,4:00 PM,Portsmouth,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Pentwater Public School,K-8,2018,11/21/2018,8:45 AM,Pentwater,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Mount Rainier High School,High School,2018,11/22/2018,12:00 PM,Des Moines,Washington,,Unknown,Unknown,Unknown,Unknown,,
Skyline High School,High School,2018,11/22/2018,9:30 AM,Dallas,Texas,,Unknown,Unknown,Unknown,Unknown,,
Africentric Early College High School,High School,2018,11/24/2018,6:00 PM,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Strawberry Mansion High School,High School,2018,11/28/2018,3:30 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Jefferson High School,High School,2018,12/10/2018,9:49 AM,Jefferson,New York,,Unknown,Unknown,Unknown,Unknown,,
Cawood Elementary School,Elementary School,2018,12/11/2018,8:41 PM,Cawood,Kentucky,,Unknown,Unknown,Unknown,Unknown,,
Dennis Intermediate School,Middle,2018,12/13/2018,8:00 AM,Richmond,Indiana,,Unknown,Unknown,Unknown,Unknown,,
Winnetonka High School,High School,2018,12/14/2018,3:00 PM,Kansas City,Missouri,,Unknown,Unknown,Unknown,Unknown,,
A I du Pont High School,High School,2018,12/18/2018,7:45 PM,Greenville,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Central Elementary School,Elementary School,2019,01/07/2019,11:00 PM,Belmont,California,,Unknown,Unknown,Unknown,Unknown,,
Cascade Middle School,Middle School,2019,01/11/2019,10:27 AM,Eugene,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,2019,01/18/2019,2:30 PM,Tuscaloosa,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Hazelwood East High School,High School,2019,01/18/2019,2:30 PM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Sheppard Middle School,Middle School,2019,01/18/2019,3:30 PM,Durham,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Lakewood Middle School,Middle School,2019,01/19/2019,9:00 PM,Overland Park,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Southern Hills Elementary School,Elementary School,2019,01/23/2019,3:00 PM,Shreveport,Louisiana,,Unknown,Unknown,Unknown,Unknown,,
Davidson High School,High School,2019,01/25/2019,9:00 PM,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Manassas High School,High School,2019,01/25/2019,8:25 AM,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Reno High School,High School,2019,01/27/2019,22:40:00,Reno,Nevada,,Unknown,Unknown,Unknown,Unknown,,
Miller Grove High School,High School,2019,01/30/2019,7:30 PM,Lithonia,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Atascocita High School,High School,2019,01/31/2019,6:20 PM,Atascocita,Texas,,Unknown,Unknown,Unknown,Unknown,,
Manassas High School,High School,2019,01/31/2019,4:00 PM,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Minneapolis School District Bus,Unknown,2019,02/05/2019,2:20 PM,Minneapolis,Minnesota,,Unknown,Unknown,Unknown,Unknown,,
Frederick Douglass High School,High School,2019,02/08/2019,1:15 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Central Academy of Excellence,High,2019,02/12/2019,20:15:00,Kansas City,Missouri,,Unknown,Unknown,Unknown,Unknown,,
V. Sue Cleveland High School,High School,2019,02/14/2019,7:00 AM,Rio Rancho,New Mexico,,Unknown,Unknown,Unknown,Unknown,,
Eaglecrest High School,High School,2019,02/17/2019,11:00 AM,Aurora,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Robert E. Lee High School,High School,2019,02/26/2019,11:00:00,Montgomery,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Highlands Elementary School,Elementary School,2019,03/01/2019,13:30:00,Mission,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Lake Mary High School,High School,2019,03/13/2019,8:00 AM,Orlando,Florida,,Unknown,Unknown,Unknown,Unknown,,
Blountsville Elementary School,Elementary School,2019,03/22/2019,11:30 AM,Blountsville,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Mayport Coastal Sciences Middle School,Middle School,2019,03/27/2019,17:00:00,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
S V Marshall Elementary,Elementary,2019,03/27/2019,3:00 PM,Holmes County,Mississippi,,Unknown,Unknown,Unknown,Unknown,,
"Prescott 
High School",High School,2019,04/01/2019,9:14 AM,Prescott,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Aurora West College Preparatory Academy,Unknown,2019,04/03/2019,Unknown,Aurora,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Saint Clair Evans Academy,Elementary,2019,04/03/2019,11:00 AM,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
St. Josaphat Parish School,Other,2019,04/05/2019,Unknown,Milwaukee,Wisconsin,,Unknown,Unknown,Unknown,Unknown,,
Hood Elementary School,Elementary School,2019,04/07/2019,Unknown,Lynn,Massachusetts,,Unknown,Unknown,Unknown,Unknown,,
Ross Shaw Sterling Aviation High School,High School,2019,04/10/2019,4:00 PM,Houston,Texas,,Unknown,Unknown,Unknown,Unknown,,
Washington Middle School,Middle School,2019,04/17/2019,1:30 PM,Lyons,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Concord High School,High School,2019,04/24/2019,12:40 PM,Concord,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Wynbrooke Elementary Theme School,Elementary,2019,04/25/2019,1:00 PM,Stone Mountain,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Creekside High School,High School,2019,04/26/2019,4:30 PM,Fairburn,Georgia,,Unknown,Unknown,Unknown,Unknown,,
C D Hylton High School,High School,2019,04/30/2019,12:00 PM,Woodbridge,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Weightman Middle School,Middle School,2019,04/30/2019,12:00 PM,Wesley Chapel,Florida,,Unknown,Unknown,Unknown,Unknown,,
STEM School Highlands Ranch,K-12,2019,05/07/2019,2:00 PM,Highlands Ranch,Colorado,,Unknown,Unknown,Unknown,Unknown,,
Second Change High School,High School,2019,05/08/2019,4:00 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Parkrose High School,High School,2019,05/17/2019,11:48 AM,Portland,Oregon,,Unknown,Unknown,Unknown,Unknown,,
Terry Parker High School,High School,2019,05/17/2019,8:37 PM,Jacksonville,Florida,,Unknown,Unknown,Unknown,Unknown,,
Shady Lane Elementary School,Elementary School,2019,05/22/2019,18:50:00,Columbus,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Hendley Elementary School,Elementary School,2019,05/30/2019,10:40 PM,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Genevieve Melody STEM Elementary School,Elementary School,2019,06/06/2019,7:45 PM,Chicago,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Menta Academy North,Other,2019,06/10/2019,1:45 PM,Waukegan,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Hendley Elementary School,Elementary School,2019,06/12/2019,4:20 PM,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Jefferson Elementary School,Elementary School,2019,06/12/2019,10:48 PM,Emmaus,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Tamaques Elementary School,Elementary School,2019,06/13/2019,3:55 PM,Westfield,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
Carman-Ainsworth High School,High School,2019,06/21/2019,7:33 PM,Flint Township,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Jack Swigert Aerospace Academy ,Elementary,2019,06/29/2019,4:00 AM,Colorado Springs,Colorado,,Unknown,Unknown,Unknown,Unknown,,
School of Science and Applied Learning,Elementary,2019,07/01/2019,10:20 PM,New York,New York,,Unknown,Unknown,Unknown,Unknown,,
Williwaw Elementary School,Elementary School,2019,07/02/2019,6:47 PM,Anchorage,Alaska,,Unknown,Unknown,Unknown,Unknown,,
Bulkeley High School,High School,2019,07/11/2019,12:00 PM,Hartford,Connecticut,,Unknown,Unknown,Unknown,Unknown,,
Monroe Clark Middle School,Middle School,2019,07/19/2019,11:55 AM,San Diego,California,,Unknown,Unknown,Unknown,Unknown,,
Blount Elementary School,Elementary School,2019,08/08/2019,7:30 AM,Montgomery,Alabama,,Unknown,Unknown,Unknown,Unknown,,
West Side High School,High School,2019,08/09/2019,21:22:00,Newark,New Jersey,,Unknown,Unknown,Unknown,Unknown,,
East Magnet High School,High School,2019,08/15/2019,Unknown,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Lakewood Stadium,High,2019,08/17/2019,9:00 PM,Atlanta,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Saint Patrick School,High,2019,08/20/2019,6:00 PM,Carlisle,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Parkway North High School,High School,2019,08/23/2019,8:15 PM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
Peek's Chapel Elementary School,Elementary School,2019,08/23/2019,6:35 PM,Conyers,Georgia,,Unknown,Unknown,Unknown,Unknown,,
Roosevelt High School,High School,2019,08/23/2019,5:00 AM,St. Louis,Missouri,,Unknown,Unknown,Unknown,Unknown,,
William C. Longstreth Elementary School,Elementary School,2019,08/24/2019,7:00 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
Hollenbeck Middle School,Middle School,2019,08/27/2019,11:00 AM,Los Angeles,California,,Unknown,Unknown,Unknown,Unknown,,
Roosevelt High School,High School,2019,08/27/2019,9:00 AM,Roosevelt,New York,,Unknown,Unknown,Unknown,Unknown,,
Central Catholic High School,High School,2019,08/30/2019,9:30 PM,Toledo,Ohio,,Unknown,Unknown,Unknown,Unknown,,
Kinston High School,High School,2019,08/30/2019,10:00 PM,Kingston,North Carolina,,Unknown,Unknown,Unknown,Unknown,,
Ladd-Peebles Stadium,High,2019,08/30/2019,22:00:00,Mobile,Alabama,,Unknown,Unknown,Unknown,Unknown,,
Northwood Elementary School,Elementary School,2019,09/02/2019,8:00 PM,Baltimore,Maryland,,Unknown,Unknown,Unknown,Unknown,,
Center Point High School,High School,2019,09/06/2019,9:00 PM,Center Point,Alabama,,Unknown,Unknown,Unknown,Unknown,,
McKee Middle School,Middle School,2019,09/06/2019,21:20:00,Jeannette,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
West Palmer High School,High School,2019,09/06/2019,10:00 PM,Morrisville,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
South Aiken High School,High School,2019,09/10/2019,3:30 PM,Aiken,South Carolina,,Unknown,Unknown,Unknown,Unknown,,
Manhattan High School,High School,2019,09/12/2019,6:45 PM,Manhattan,Kansas,,Unknown,Unknown,Unknown,Unknown,,
Ethel M. Gildersleeve Middle School,Middle School,2019,09/13/2019,9:34 PM,Newport News,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Granger High School,High School,2019,09/13/2019,8:30 PM,West Valley City,Utah,,Unknown,Unknown,Unknown,Unknown,,
Eastern Hills High School,High School,2019,09/14/2019,3:45 PM,Fort Worth,Texas,,Unknown,Unknown,Unknown,Unknown,,
Illinois Central School Bus,Unknown,2019,09/16/2019,3:20 PM,Kankakee,Illinois,,Unknown,Unknown,Unknown,Unknown,,
Phoebus High School,High School,2019,09/16/2019,11:55 AM,Hampton,Virginia,,Unknown,Unknown,Unknown,Unknown,,
Simon Gratz High School Mastery Charter,High School,2019,09/20/2019,7:30 PM,Philadelphia,Pennsylvania,,Unknown,Unknown,Unknown,Unknown,,
