School,Race,Killed,Injured,Victims,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location
John Muir Elementary School,M,0,0,0,-122.083,37.6566,2009,Hayward,California,Shotgun,Unknown,Unknown,H,Unknown,Elementary School,02/20/2009,12:00 PM,No,No,Unknown,No,Winter,Beside Building
Ribault High School,Unknown,0,0,0,-81.707,30.3895,2009,Jacksonville,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,High School,11/07/1997,8:20 AM,No,No,No,No,Fall,Beside Building
Ribault High School,Unknown,0,0,0,-81.707,30.3895,2009,Jacksonville,Florida,Unknown,Unknown,Unknown,Unknown,Unknown,High School,03/10/2009,7:22 AM,No,No,No,No,Spring,Hallway
Ribault High School,Unknown,0,1,1,-81.7073,30.3906,2020,Jacksonville,Florida,.380-Caliber Handgun,Unknown,18.0,Unknown,Unknown,High School,11/07/1997,8:20 AM,No,No,No,No,Fall,Beside Building
Ribault High School,Unknown,0,1,1,-81.7073,30.3906,2020,Jacksonville,Florida,.380-Caliber Handgun,Unknown,18.0,Unknown,Unknown,High School,03/10/2009,7:22 AM,No,No,No,No,Spring,Hallway
Larose-Cut Off Middle School,Unknown,0,0,0,-90.3295,29.5004,2009,Larose,Louisiana,25-Caliber Nickel Plate Semi-Automatic,Father,15.0,M,Student,Middle School,05/18/2009,9:00 AM,Unknown,No,No,No,Spring,Classroom
Stamford Academy,Unknown,0,0,0,-73.536464,41.059329,2009,Stamford,Connecticut,.22-Caliber Pistol,Unknown,16.0,M,Student,High,09/08/2009,8:05 AM,No,No,No,No,Fall,Parking Lot
Virginia Randolph Community High School,Unknown,0,0,0,-77.483135,37.661586,2009,Glen Allen,Virginia,.40-Caliber Handgun,Unknown,16.0,M,Student,High School,09/16/2009,12:30 PM,Unknown,Unknown,No,No,Fall,Playground
Mattituck Junior-Senior High School,Unknown,0,1,1,-72.529205,40.996241,2009,Mattituck,New York,22-Caliber Rifle,Mother,28.0,M,Unknown,High School,10/08/2009,1:53 PM,No,No,No,No,Fall,Classroom
Carolina Forest High School,W,1,0,1,-78.97152,33.780761,2009,Conway,South Carolina,.40 Caliber Glock,Department Issued,Unknown,M,School Resource Officer,High School,10/16/2009,8:25 AM,Unknown,Unknown,Unknown,Unknown,Fall,Inside School Building
Booker T. Washington High School,B,0,1,1,-93.77398,32.503605,2009,Shreveport,Louisiana,Handgun,Unknown,28.0,M,Ex-Boyfriend Of Student,High School,08/31/1984,Unknown,No,No,Yes,No,Summer,Football Field/Track
Booker T. Washington High School,B,0,1,1,-93.77398,32.503605,2009,Shreveport,Louisiana,Handgun,Unknown,28.0,M,Ex-Boyfriend Of Student,High School,05/24/2005,1:55 PM,No,No,No,No,Spring,Beside Building
Booker T. Washington High School,B,0,1,1,-93.77398,32.503605,2009,Shreveport,Louisiana,Handgun,Unknown,28.0,M,Ex-Boyfriend Of Student,High School,12/11/2009,8:10 AM,No,Yes,No,No,Winter,Parking Lot
Booker T. Washington High School,B,0,1,1,-93.77398,32.503605,2009,Shreveport,Louisiana,Handgun,Unknown,28.0,M,Ex-Boyfriend Of Student,High School,03/18/2020,11:00 PM,No,No,No,No,Spring,Parking Lot
Discovery Middle School,A,1,0,1,-86.741148,34.740322,2010,Madison,Alabama,.22-Caliber Pistol,Friend'S Home,14.0,M,Student,Middle School,02/05/2010,1:45 PM,Unknown,No,Unknown,No,Winter,Hallway
